Date,"Thursday, February 9, 2023"
,
Trail,1
Seconds - s,20
Starting Temp - C,
Ending Temp - C,
Retarding Voltage - V,
Result,Failure
,
time (s),V1 Potential 3
0,0.536502767
0.02,-1.191145584
0.04,-1.191145584
0.06,-0.039380017
0.08,0.536502767
0.1,0.536502767
0.12,-0.6152628
0.14,-1.767028368
0.16,-0.6152628
0.18,1.112385551
0.2,-0.6152628
0.22,-1.191145584
0.24,-1.767028368
0.26,-1.191145584
0.28,2.264151119
0.3,1.112385551
0.32,-2.918793936
0.34,-4.070559504
0.36,-0.6152628
0.38,1.688268335
0.4,0.536502767
0.42,-2.342911152
0.44,-4.070559504
0.46,-1.191145584
0.48,2.264151119
0.5,1.112385551
0.52,-2.918793936
0.54,-3.49467672
0.56,-0.6152628
0.58,1.688268335
0.6,1.112385551
0.62,-2.918793936
0.64,-4.070559504
0.66,-1.191145584
0.68,-0.039380017
0.7,-0.6152628
0.72,-1.191145584
0.74,-1.767028368
0.76,-1.191145584
0.78,0.536502767
0.8,-0.039380017
0.82,-2.342911152
0.84,-2.342911152
0.86,-0.6152628
0.88,-0.039380017
0.9,-0.039380017
0.92,-1.191145584
0.94,-2.918793936
0.96,-1.191145584
0.98,0.536502767
1,-0.039380017
1.02,-1.191145584
1.04,-1.767028368
1.06,-1.767028368
1.08,2.264151119
1.1,1.112385551
1.12,-2.342911152
1.14,-4.070559504
1.16,-1.191145584
1.18,1.688268335
1.2,1.112385551
1.22,-2.342911152
1.24,-4.646442288
1.26,-1.191145584
1.28,2.264151119
1.3,0.536502767
1.32,-2.342911152
1.34,-3.49467672
1.36,-1.767028368
1.38,1.688268335
1.4,1.112385551
1.42,-2.918793936
1.44,-4.646442288
1.46,-1.767028368
1.48,-0.6152628
1.5,-0.6152628
1.52,-1.191145584
1.54,-2.342911152
1.56,-1.191145584
1.58,0.536502767
1.6,-0.6152628
1.62,-1.767028368
1.64,-1.767028368
1.66,-1.767028368
1.68,-0.039380017
1.7,-0.039380017
1.72,-1.767028368
1.74,-2.918793936
1.76,-1.191145584
1.78,-0.039380017
1.8,-0.6152628
1.82,-1.191145584
1.84,-2.342911152
1.86,-1.767028368
1.88,2.264151119
1.9,1.112385551
1.92,-2.342911152
1.94,-4.070559504
1.96,-1.767028368
1.98,1.688268335
2,1.112385551
2.02,-2.342911152
2.04,-4.070559504
2.06,-1.191145584
2.08,1.688268335
2.1,1.112385551
2.12,-1.767028368
2.14,-4.070559504
2.16,-1.767028368
2.18,1.688268335
2.2,1.112385551
2.22,-2.342911152
2.24,-3.49467672
2.26,-1.767028368
2.28,-1.191145584
2.3,-0.039380017
2.32,-0.6152628
2.34,-2.342911152
2.36,-1.191145584
2.38,0.536502767
2.4,-0.6152628
2.42,-1.191145584
2.44,-2.342911152
2.46,-1.767028368
2.48,-0.039380017
2.5,-0.039380017
2.52,-1.767028368
2.54,-2.342911152
2.56,-1.191145584
2.58,-0.6152628
2.6,-0.039380017
2.62,-0.6152628
2.64,-2.342911152
2.66,-1.191145584
2.68,1.688268335
2.7,1.112385551
2.72,-1.767028368
2.74,-3.49467672
2.76,-2.342911152
2.78,1.688268335
2.8,1.688268335
2.82,-2.342911152
2.84,-3.49467672
2.86,-1.767028368
2.88,1.688268335
2.9,1.688268335
2.92,-1.191145584
2.94,-4.070559504
2.96,-2.342911152
2.98,1.688268335
3,1.112385551
3.02,-1.767028368
3.04,-4.070559504
3.06,-2.342911152
3.08,-0.039380017
3.1,-0.039380017
3.12,-1.191145584
3.14,-1.767028368
3.16,-1.191145584
3.18,-0.6152628
3.2,0.536502767
3.22,-1.191145584
3.24,-2.918793936
3.26,-1.767028368
3.28,-0.039380017
3.3,-0.6152628
3.32,-1.191145584
3.34,-1.767028368
3.36,-1.767028368
3.38,-0.039380017
3.4,0.536502767
3.42,-1.191145584
3.44,-1.767028368
3.46,-1.191145584
3.48,-0.6152628
3.5,1.688268335
3.52,-1.191145584
3.54,-4.070559504
3.56,-2.342911152
3.58,1.112385551
3.6,1.112385551
3.62,-1.191145584
3.64,-3.49467672
3.66,-2.918793936
3.68,1.112385551
3.7,2.264151119
3.72,-1.767028368
3.74,-4.070559504
3.76,-2.342911152
3.78,0.536502767
3.8,1.112385551
3.82,-1.191145584
3.84,-4.070559504
3.86,-2.918793936
3.88,-0.039380017
3.9,-0.039380017
3.92,-1.191145584
3.94,-1.767028368
3.96,-2.342911152
3.98,-0.6152628
4,-0.039380017
4.02,-1.767028368
4.04,-2.342911152
4.06,-1.767028368
4.08,-0.6152628
4.1,-0.6152628
4.12,-0.6152628
4.14,-2.342911152
4.16,-1.767028368
4.18,-0.039380017
4.2,-0.039380017
4.22,-1.191145584
4.24,-1.767028368
4.26,-1.767028368
4.28,-1.191145584
4.3,-0.039380017
4.32,-0.6152628
4.34,-4.070559504
4.36,-2.342911152
4.38,1.688268335
4.4,1.688268335
4.42,-0.6152628
4.44,-3.49467672
4.46,-2.918793936
4.48,1.112385551
4.5,2.264151119
4.52,-1.191145584
4.54,-3.49467672
4.56,-2.918793936
4.58,0.536502767
4.6,1.688268335
4.62,-0.6152628
4.64,-4.070559504
4.66,-2.342911152
4.68,1.112385551
4.7,-0.039380017
4.72,-1.191145584
4.74,-1.767028368
4.76,-2.342911152
4.78,-0.6152628
4.8,0.536502767
4.82,-1.191145584
4.84,-2.342911152
4.86,-1.767028368
4.88,-0.6152628
4.9,-0.039380017
4.92,-0.6152628
4.94,-1.767028368
4.96,-2.342911152
4.98,-0.039380017
5,-0.039380017
5.02,-1.191145584
5.04,-1.767028368
5.06,-2.342911152
5.08,-0.6152628
5.1,-0.039380017
5.12,-1.191145584
5.14,-3.49467672
5.16,-2.342911152
5.18,0.536502767
5.2,1.688268335
5.22,-0.039380017
5.24,-4.070559504
5.26,-3.49467672
5.28,1.112385551
5.3,1.688268335
5.32,-1.191145584
5.34,-3.49467672
5.36,-2.918793936
5.38,-0.039380017
5.4,2.264151119
5.42,-0.039380017
5.44,-3.49467672
5.46,-2.918793936
5.48,0.536502767
5.5,1.688268335
5.52,-0.6152628
5.54,-1.767028368
5.56,-2.342911152
5.58,-0.6152628
5.6,-0.039380017
5.62,-1.191145584
5.64,-1.767028368
5.66,-1.767028368
5.68,-0.6152628
5.7,-0.039380017
5.72,-0.6152628
5.74,-2.342911152
5.76,-1.767028368
5.78,-0.039380017
5.8,-0.039380017
5.82,-0.6152628
5.84,-1.767028368
5.86,-2.342911152
5.88,-0.6152628
5.9,0.536502767
5.92,-1.191145584
5.94,-2.918793936
5.96,-2.918793936
5.98,-0.039380017
6,2.264151119
6.02,-0.039380017
6.04,-3.49467672
6.06,-3.49467672
6.08,0.536502767
6.1,1.688268335
6.12,-0.039380017
6.14,-3.49467672
6.16,-4.070559504
6.18,-0.039380017
6.2,2.264151119
6.22,-0.6152628
6.24,-3.49467672
6.26,-2.918793936
6.28,-0.6152628
6.3,2.264151119
6.32,-0.039380017
6.34,-2.342911152
6.36,-2.342911152
6.38,-0.6152628
6.4,-0.039380017
6.42,-1.191145584
6.44,-1.767028368
6.46,-2.342911152
6.48,-1.191145584
6.5,0.536502767
6.52,-0.6152628
6.54,-1.767028368
6.56,-1.767028368
6.58,-0.6152628
6.6,-0.039380017
6.62,-0.039380017
6.64,-2.342911152
6.66,-2.342911152
6.68,-0.6152628
6.7,-0.039380017
6.72,-1.191145584
