Date,"Monday, February 13, 2023"
,
Trail,2
Seconds - s,20
Starting Temp - C,
Ending Temp - C,
Retarding Voltage - V,
Result,Failure
,
time (s),V1 Potential 3
0,33.36276935
0.02,83.46457155
0.04,82.88868877
0.06,85.1922199
0.08,97.28575836
0.1,145.6599122
0.12,188.851121
0.14,182.5164104
0.16,180.788762
0.18,213.6140807
0.2,236.6493921
0.22,237.8011576
0.24,196.3375972
0.26,169.2711063
0.28,111.1069452
0.3,109.3792968
0.32,100.7410551
0.34,57.54984627
0.36,30.48335543
0.38,-14.43550171
0.4,-2.917846033
0.42,-9.828439439
0.44,-51.86788266
0.46,-80.08613907
0.48,-125.580879
0.5,-114.0632233
0.52,-123.2773479
0.54,-165.8926739
0.56,-171.6515017
0.58,-207.9321171
0.6,-195.2626959
0.62,-204.4768204
0.64,-249.3956775
0.66,-279.9174651
0.68,-326.5639706
0.7,-315.6221977
0.72,-325.9880878
0.74,-370.9069449
0.76,-402.0046153
0.78,-448.6511208
0.8,-437.1334651
0.82,-446.9234724
0.84,-491.8423295
0.86,-522.9399999
0.88,-567.858857
0.9,-556.3412013
0.92,-566.7070915
0.94,-611.0500658
0.96,-640.9959706
0.98,-684.1871794
1,-671.5177581
1.02,-682.459531
1.04,-725.6507398
1.06,-755.5966446
1.08,-814.9125713
1.1,-817.7919852
1.12,-832.1890548
1.14,-869.045553
1.16,-868.4696702
1.18,-868.4696702
1.2,-869.045553
1.22,-869.045553
1.24,-869.045553
1.26,-869.045553
1.28,-868.4696702
1.3,-868.4696702
1.32,-868.4696702
1.34,-869.045553
1.36,-869.045553
1.38,-869.045553
1.4,-869.045553
1.42,-869.045553
1.44,-869.045553
1.46,-868.4696702
1.48,-869.045553
1.5,-869.045553
1.52,-869.045553
1.54,-869.045553
1.56,-869.045553
1.58,-869.045553
1.6,-868.4696702
1.62,-869.045553
1.64,-869.6214358
1.66,-869.6214358
1.68,-869.6214358
1.7,-869.6214358
1.72,-869.045553
1.74,-869.045553
1.76,-869.045553
1.78,-869.045553
1.8,-869.6214358
1.82,-869.6214358
1.84,-869.6214358
1.86,-869.6214358
1.88,-869.6214358
1.9,-869.6214358
1.92,-869.6214358
1.94,-869.6214358
1.96,-869.6214358
1.98,-869.6214358
2,-870.1973186
2.02,-869.6214358
2.04,-870.1973186
2.06,-870.1973186
2.08,-870.1973186
2.1,-869.6214358
2.12,-869.6214358
2.14,-869.6214358
2.16,-869.6214358
2.18,-869.6214358
2.2,-869.6214358
2.22,-869.6214358
2.24,-870.1973186
2.26,-870.7732013
2.28,-870.7732013
2.3,-870.1973186
2.32,-870.7732013
2.34,-870.1973186
2.36,-870.7732013
2.38,-870.7732013
2.4,-870.7732013
2.42,-870.1973186
2.44,-870.1973186
2.46,-870.1973186
