Date,,2/20/2023
Trial,Modify Current (actually at 2),5
Measurement,,Anode Current (Channel 3)
Oven Status,,On
Temp (C),182,0.5
Filament Current (A),0.15,0.01
Retarding Voltage (V),2,0.003
,,
time (s),pot 2 (V),pot 3 (mV1V+-)
0,-0.001953530442,0.6923078545
0.02,-0.001953530442,1.268190638
0.04,2.93E-03,-4.59E-01
0.06,-0.001953530442,-1.035340497
0.08,-0.006837535326,-2.187106065
0.1,-0.006837535326,0.1164250707
0.12,-0.001953530442,1.268190638
0.14,-0.001953530442,-0.4594577132
0.16,-0.001953530442,-1.035340497
0.18,0.002930474442,-1.611223281
0.2,-0.001953530442,1.268190638
0.22,-0.001953530442,2.419956206
0.24,-0.001953530442,0.1164250707
0.26,-6.84E-03,-2.19E+00
0.28,-1.95E-03,-3.34E+00
0.3,-1.95E-03,1.27E+00
0.32,-0.001953530442,2.419956206
0.34,-0.006837535326,-0.4594577132
0.36,-0.001953530442,-2.762988849
0.38,-0.001953530442,-3.914754417
0.4,-0.001953530442,1.268190638
0.42,-0.001953530442,2.99583899
0.44,-0.001953530442,0.1164250707
0.46,-0.006837535326,-2.762988849
0.48,-0.001953530442,-3.914754417
0.5,-0.001953530442,1.268190638
0.52,0.002930474442,2.99583899
0.54,-0.001953530442,0.1164250707
0.56,-1.95E-03,-3.34E+00
0.58,-0.001953530442,-4.4906372
0.6,-0.001953530442,0.6923078545
0.62,-0.001953530442,2.99583899
0.64,-0.006837535326,0.1164250707
0.66,-0.001953530442,-2.762988849
0.68,-0.001953530442,-2.762988849
0.7,-0.001953530442,0.1164250707
0.72,-0.001953530442,1.268190638
0.74,-0.001953530442,-0.4594577132
0.76,-0.001953530442,-1.035340497
0.78,-1.95E-03,-2.76E+00
0.8,-0.001953530442,0.1164250707
0.82,-1.95E-03,6.92E-01
0.84,-1.95E-03,-1.04E+00
0.86,-0.001953530442,-1.611223281
0.88,-1.95E-03,-2.76E+00
0.9,-0.001953530442,0.6923078545
0.92,-0.001953530442,1.268190638
0.94,-0.001953530442,-1.035340497
0.96,-0.006837535326,-1.611223281
0.98,-0.001953530442,-2.187106065
1,0.002930474442,0.6923078545
1.02,-0.001953530442,2.99583899
1.04,-1.95E-03,1.16E-01
1.06,-6.84E-03,-2.76E+00
1.08,-0.006837535326,-4.4906372
1.1,-0.001953530442,0.6923078545
1.12,-0.001953530442,2.99583899
1.14,-1.95E-03,6.92E-01
1.16,-0.001953530442,-2.762988849
1.18,-0.006837535326,-4.4906372
1.2,-0.001953530442,0.1164250707
1.22,-0.001953530442,2.99583899
1.24,-0.001953530442,0.6923078545
1.26,-0.001953530442,-2.187106065
1.28,-0.001953530442,-4.4906372
1.3,-0.001953530442,0.1164250707
1.32,-1.95E-03,3.00E+00
1.34,-0.001953530442,0.1164250707
1.36,-0.001953530442,-2.187106065
1.38,-0.006837535326,-4.4906372
1.4,-0.001953530442,0.1164250707
1.42,-0.001953530442,2.419956206
1.44,-0.001953530442,0.1164250707
1.46,-0.001953530442,-2.187106065
