Date,,2/20/2023
Trial,,3
Measurement,,Ramping Voltage (channel 2)
Oven Status,,Off
Temp Start (C),,
Temp End(C),,
Filament Current (A),,
Retarding Voltage (V),,
,,
time (s),pot 2 (V),pot 3 (mV1V+-)
0,-0.003255958877,-0.1554008175
0.02,0.001628046007,-0.1554008175
0.04,1.63E-03,-1.55E-01
0.06,-0.003255958877,-0.7312836013
0.08,-0.008139963761,-0.7312836013
0.1,-0.003255958877,-0.7312836013
0.12,-0.008139963761,-0.1554008175
0.14,-0.008139963761,-0.1554008175
0.16,-0.008139963761,-0.7312836013
0.18,-0.003255958877,-1.307166385
0.2,0.001628046007,-0.7312836013
0.22,0.001628046007,-0.1554008175
0.24,0.006512050891,-0.1554008175
0.26,1.14E-02,-1.55E-01
0.28,1.63E-02,-1.31E+00
0.3,2.12E-02,-1.31E+00
0.32,0.02604807043,-1.307166385
0.34,0.02604807043,-0.7312836013
0.36,0.03093207531,-0.1554008175
0.38,0.04070008508,-0.7312836013
0.4,0.04070008508,-1.307166385
0.42,0.05046809485,-1.307166385
0.44,0.05535209973,-0.7312836013
0.46,0.06023610462,-0.1554008175
0.48,0.0651201095,-0.1554008175
0.5,0.07000411438,-0.1554008175
0.52,0.07488811927,-0.7312836013
0.54,0.07977212415,-0.7312836013
0.56,8.47E-02,-7.31E-01
0.58,0.08465612904,-0.1554008175
0.6,0.0944241388,-0.1554008175
0.62,0.0944241388,-0.7312836013
0.64,0.09930814369,-1.307166385
0.66,0.1090761535,-1.307166385
0.68,0.1090761535,-0.7312836013
0.7,0.1188441632,-0.1554008175
0.72,0.1188441632,-0.1554008175
0.74,0.1237281681,-0.1554008175
0.76,0.128612173,-1.307166385
0.78,1.33E-01,-1.31E+00
0.8,0.1383801828,-0.1554008175
0.82,1.48E-01,-1.55E-01
0.84,1.48E-01,-7.31E-01
0.86,0.1530321974,-1.307166385
0.88,1.58E-01,-1.31E+00
0.9,0.1579162023,-1.307166385
0.92,0.1676842121,-0.7312836013
0.94,0.1725682169,-0.7312836013
0.96,0.1774522218,-0.1554008175
0.98,0.1872202316,-0.7312836013
1,0.1921042365,-0.7312836013
1.02,0.1969882414,-0.7312836013
1.04,1.97E-01,-1.55E-01
1.06,2.02E-01,-1.55E-01
1.08,0.2067562511,-0.7312836013
1.1,0.211640256,-0.7312836013
1.12,0.2165242609,-0.7312836013
1.14,2.21E-01,-7.31E-01
1.16,0.2214082658,-0.1554008175
1.18,0.2214082658,-0.1554008175
1.2,0.2311762756,-1.307166385
1.22,0.2360602804,-0.7312836013
1.24,0.2409442853,-0.7312836013
1.26,0.2458282902,-0.1554008175
1.28,0.2507122951,-0.1554008175
1.3,0.2507122951,-0.7312836013
1.32,2.60E-01,-1.31E+00
1.34,0.2653643097,-0.7312836013
1.36,0.2653643097,-0.7312836013
1.38,0.2751323195,-0.7312836013
1.4,0.2800163244,-0.1554008175
1.42,0.2849003293,-1.307166385
1.44,0.294668339,-1.307166385
1.46,0.294668339,-0.7312836013
1.48,0.2995523439,-0.1554008175
1.5,0.3044363488,-0.1554008175
1.52,0.3093203537,-0.1554008175
1.54,0.3142043586,-0.7312836013
1.56,0.3142043586,-0.7312836013
1.58,3.24E-01,-1.55E-01
1.6,3.29E-01,-1.55E-01
1.62,3.29E-01,-1.55E-01
1.64,0.3337403781,-1.307166385
1.66,0.3337403781,-1.307166385
1.68,0.338624383,-0.7312836013
1.7,3.44E-01,-7.31E-01
1.72,0.3483923928,-0.7312836013
1.74,0.3532763977,-0.1554008175
1.76,0.3630444074,-0.7312836013
1.78,0.3630444074,-0.7312836013
1.8,0.3728124172,-0.7312836013
1.82,0.3728124172,-0.7312836013
1.84,0.382580427,-0.1554008175
1.86,3.87E-01,-7.31E-01
1.88,0.3874644318,-1.307166385
1.9,0.3923484367,-1.307166385
1.92,0.3972324416,-0.7312836013
1.94,0.4070004514,-0.1554008175
1.96,0.4070004514,-0.1554008175
1.98,0.4118844563,-1.307166385
2,0.4167684611,-0.7312836013
2.02,0.4265364709,-0.7312836013
2.04,0.4314204758,-0.1554008175
2.06,0.4314204758,-0.1554008175
2.08,0.4363044807,-0.1554008175
2.1,0.4460724905,-0.7312836013
2.12,4.46E-01,-7.31E-01
2.14,0.4509564953,-0.7312836013
2.16,0.4558405002,-0.7312836013
2.18,4.56E-01,-1.55E-01
2.2,0.4607245051,-0.7312836013
2.22,0.46560851,-1.307166385
2.24,0.4753765198,-1.307166385
2.26,0.4753765198,-0.7312836013
2.28,0.4802605246,-0.1554008175
2.3,0.4851445295,-0.1554008175
2.32,0.4900285344,-0.7312836013
2.34,0.4997965442,-0.7312836013
2.36,0.4997965442,-0.7312836013
2.38,0.5046805491,-0.1554008175
2.4,0.5095645539,-0.7312836013
2.42,5.19E-01,-7.31E-01
2.44,0.5193325637,-1.307166385
2.46,0.5193325637,-1.307166385
2.48,0.5242165686,-1.307166385
2.5,0.5291005735,-0.7312836013
2.52,0.5339845784,-0.1554008175
2.54,0.5388685832,-0.1554008175
2.56,0.548636593,-1.307166385
2.58,0.5535205979,-0.7312836013
2.6,0.5535205979,-0.7312836013
2.62,0.5632886077,-0.1554008175
2.64,0.5681726126,-0.1554008175
2.66,5.68E-01,-7.31E-01
2.68,0.5779406223,-0.7312836013
2.7,0.5779406223,-1.307166385
2.72,0.5828246272,-0.1554008175
2.74,0.5877086321,-0.1554008175
2.76,5.93E-01,-1.55E-01
2.78,0.6023606467,-0.7312836013
2.8,0.6023606467,-0.7312836013
2.82,0.6023606467,-0.7312836013
2.84,0.6072446516,-0.7312836013
2.86,0.6121286565,-0.1554008175
2.88,0.6170126614,-0.1554008175
2.9,6.32E-01,-7.31E-01
2.92,0.631664676,-0.7312836013
2.94,0.6365486809,-0.7312836013
2.96,0.6365486809,-0.1554008175
2.98,0.6414326858,-0.1554008175
3,0.6463166907,-0.7312836013
3.02,0.6512006956,-1.307166385
3.04,0.6560847005,-0.7312836013
3.06,0.6609687053,-0.1554008175
3.08,0.6658527102,-0.1554008175
3.1,6.71E-01,-1.55E-01
3.12,0.6805047249,-0.7312836013
3.14,6.85E-01,-7.31E-01
3.16,0.6902727347,-0.7312836013
3.18,0.6853887298,-0.1554008175
3.2,6.95E-01,-1.55E-01
3.22,0.7000407444,-0.1554008175
3.24,0.7000407444,-1.307166385
3.26,0.7049247493,-0.7312836013
3.28,0.7098087542,-0.7312836013
3.3,0.7146927591,-0.1554008175
3.32,0.7146927591,-0.1554008175
3.34,0.7293447737,-0.1554008175
3.36,0.7244607688,-0.7312836013
3.38,0.7342287786,-0.7312836013
3.4,0.7439967884,-0.1554008175
3.42,0.7488807933,-0.1554008175
3.44,0.7488807933,-0.7312836013
3.46,0.7488807933,-1.307166385
3.48,0.758648803,-0.7312836013
3.5,0.758648803,-1.307166385
3.52,0.7635328079,-0.7312836013
3.54,0.7635328079,-0.1554008175
3.56,0.7733008177,-0.1554008175
3.58,0.7733008177,-0.7312836013
3.6,0.7781848226,-0.7312836013
3.62,7.88E-01,-7.31E-01
3.64,0.7928368372,-0.7312836013
3.66,0.7977208421,-0.1554008175
3.68,0.802604847,-0.1554008175
3.7,0.802604847,-1.307166385
3.72,0.8123728568,-0.7312836013
3.74,0.8172568616,-0.7312836013
3.76,0.8172568616,-0.1554008175
3.78,0.8221408665,-0.1554008175
3.8,0.8270248714,-0.7312836013
3.82,0.8367928812,-1.307166385
3.84,0.8367928812,-0.7312836013
3.86,0.8416768861,-0.7312836013
3.88,8.42E-01,-1.55E-01
3.9,8.47E-01,-1.55E-01
3.92,8.51E-01,-7.31E-01
3.94,0.8612129056,-0.7312836013
3.96,8.61E-01,-1.31E+00
3.98,8.66E-01,-7.31E-01
4,0.8709809154,-0.7312836013
4.02,0.8758649202,-0.1554008175
4.04,0.8807489251,-1.307166385
4.06,0.8905169349,-1.307166385
4.08,0.8905169349,-0.7312836013
4.1,0.8954009398,-0.1554008175
4.12,0.8954009398,-0.1554008175
4.14,0.9051689495,-0.1554008175
4.16,0.9100529544,-0.7312836013
4.18,0.9100529544,-0.7312836013
4.2,9.20E-01,-7.31E-01
4.22,0.9198209642,-0.7312836013
4.24,0.9247049691,-0.1554008175
4.26,0.929588974,-0.7312836013
4.28,0.929588974,-0.7312836013
4.3,0.9393569837,-1.307166385
4.32,0.9393569837,-0.7312836013
4.34,0.9442409886,-0.1554008175
4.36,9.54E-01,-1.55E-01
4.38,0.9588930033,-0.7312836013
4.4,0.9637770082,-0.7312836013
4.42,0.968661013,-0.7312836013
4.44,0.9735450179,-0.1554008175
4.46,9.74E-01,-1.55E-01
4.48,0.9784290228,-0.1554008175
4.5,0.9784290228,-1.307166385
4.52,9.88E-01,-1.31E+00
4.54,0.9881970326,-0.7312836013
4.56,0.9930810375,-0.7312836013
4.58,0.9979650423,-0.7312836013
4.6,1.002849047,-0.7312836013
4.62,1.007733052,-1.307166385
4.64,1.012617057,-0.7312836013
4.66,1.027269072,-0.7312836013
4.68,1.027269072,-0.1554008175
4.7,1.032153077,-0.1554008175
4.72,1.032153077,-0.7312836013
4.74,1.037037081,-0.7312836013
4.76,1.04E+00,-7.31E-01
4.78,1.041921086,-0.1554008175
4.8,1.046805091,-0.1554008175
4.82,1.046805091,-0.7312836013
4.84,1.056573101,-1.307166385
4.86,1.061457106,-1.307166385
4.88,1.066341111,-0.7312836013
4.9,1.071225116,-0.1554008175
4.92,1.07610912,-0.1554008175
4.94,1.08587713,-0.7312836013
4.96,1.08587713,-1.307166385
4.98,1.090761135,-0.7312836013
5,1.09E+00,-7.31E-01
5.02,1.09564514,-0.1554008175
5.04,1.10541315,-0.1554008175
5.06,1.110297155,-1.307166385
5.08,1.10541315,-1.307166385
5.1,1.110297155,-1.307166385
5.12,1.120065164,-0.7312836013
5.14,1.129833174,-0.1554008175
5.16,1.134717179,-0.1554008175
5.18,1.13E+00,-7.31E-01
5.2,1.139601184,-0.7312836013
5.22,1.144485189,-0.1554008175
5.24,1.15E+00,-1.55E-01
5.26,1.149369194,-0.1554008175
5.28,1.15E+00,-7.31E-01
5.3,1.159137204,-1.307166385
5.32,1.164021208,-0.7312836013
5.34,1.164021208,-0.7312836013
5.36,1.168905213,-0.7312836013
5.38,1.178673223,-0.1554008175
5.4,1.183557228,-1.307166385
5.42,1.188441233,-1.307166385
5.44,1.193325238,-0.7312836013
5.46,1.20E+00,-1.55E-01
5.48,1.198209243,-0.1554008175
5.5,1.203093247,-0.1554008175
5.52,1.207977252,-0.7312836013
5.54,1.212861257,-1.307166385
5.56,1.21E+00,-7.31E-01
5.58,1.217745262,-0.1554008175
5.6,1.222629267,-0.1554008175
5.62,1.222629267,-0.7312836013
5.64,1.23E+00,-1.31E+00
5.66,1.237281282,-1.307166385
5.68,1.242165287,-0.7312836013
5.7,1.251933296,-0.1554008175
5.72,1.251933296,-0.1554008175
5.74,1.256817301,-0.7312836013
5.76,1.26E+00,-7.31E-01
5.78,1.261701306,-0.7312836013
5.8,1.27E+00,-1.55E-01
5.82,1.271469316,-0.1554008175
5.84,1.271469316,-0.1554008175
5.86,1.276353321,-1.307166385
5.88,1.281237326,-1.307166385
5.9,1.29E+00,-7.31E-01
5.92,1.29588934,-0.7312836013
5.94,1.300773345,-0.7312836013
5.96,1.31E+00,-1.55E-01
5.98,1.310541355,-1.307166385
6,1.310541355,-0.7312836013
6.02,1.31542536,-0.7312836013
6.04,1.320309365,-0.1554008175
6.06,1.32519337,-0.1554008175
6.08,1.33E+00,-1.31E+00
6.1,1.330077374,-1.307166385
6.12,1.334961379,-1.307166385
6.14,1.339845384,-0.7312836013
6.16,1.344729389,-0.1554008175
6.18,1.349613394,-0.1554008175
6.2,1.354497399,-0.7312836013
6.22,1.364265409,-0.7312836013
6.24,1.364265409,-0.7312836013
6.26,1.364265409,-0.1554008175
6.28,1.374033418,-0.1554008175
6.3,1.374033418,-0.7312836013
6.32,1.383801428,-1.307166385
6.34,1.378917423,-1.307166385
6.36,1.383801428,-1.307166385
6.38,1.388685433,-0.7312836013
6.4,1.393569438,-0.1554008175
6.42,1.403337448,-0.7312836013
6.44,1.413105457,-0.7312836013
6.46,1.408221453,-0.7312836013
6.48,1.417989462,-0.1554008175
6.5,1.417989462,-0.1554008175
6.52,1.422873467,-0.1554008175
6.54,1.43E+00,-7.31E-01
6.56,1.43E+00,-1.31E+00
6.58,1.432641477,-0.7312836013
6.6,1.432641477,-0.7312836013
6.62,1.437525482,-0.1554008175
6.64,1.447293492,-0.1554008175
6.66,1.447293492,-1.307166385
6.68,1.457061501,-0.7312836013
6.7,1.46E+00,-7.31E-01
6.72,1.466829511,-0.1554008175
6.74,1.476597521,-0.1554008175
6.76,1.471713516,-0.1554008175
6.78,1.481481526,-0.7312836013
6.8,1.481481526,-0.7312836013
6.82,1.481481526,-0.7312836013
6.84,1.49E+00,-7.31E-01
6.86,1.49E+00,-7.31E-01
6.88,1.491249536,-0.7312836013
6.9,1.50590155,-1.307166385
6.92,1.50590155,-1.307166385
6.94,1.51566956,-0.1554008175
6.96,1.520553565,-0.1554008175
6.98,1.520553565,-0.1554008175
7,1.52543757,-0.7312836013
7.02,1.530321575,-0.7312836013
7.04,1.53520558,-0.7312836013
7.06,1.53520558,-0.1554008175
7.08,1.53520558,-0.1554008175
7.1,1.54E+00,-7.31E-01
7.12,1.549857594,-1.307166385
7.14,1.554741599,-1.307166385
7.16,1.554741599,-1.307166385
7.18,1.56E+00,-1.55E-01
7.2,1.569393614,-0.1554008175
7.22,1.574277619,-0.1554008175
7.24,1.574277619,-0.7312836013
7.26,1.58E+00,-7.31E-01
7.28,1.58E+00,-7.31E-01
7.3,1.588929633,-0.1554008175
7.32,1.593813638,-0.1554008175
7.34,1.59E+00,-7.31E-01
7.36,1.593813638,-1.307166385
7.38,1.598697643,-1.307166385
7.4,1.603581648,-0.7312836013
7.42,1.61E+00,-1.55E-01
7.44,1.618233663,-0.1554008175
7.46,1.623117668,-0.7312836013
7.48,1.628001672,-0.7312836013
7.5,1.632885677,-0.7312836013
7.52,1.63E+00,-1.55E-01
7.54,1.642653687,-0.1554008175
7.56,1.642653687,-0.1554008175
7.58,1.642653687,-0.7312836013
7.6,1.647537692,-1.307166385
7.62,1.652421697,-1.307166385
7.64,1.657305702,-0.1554008175
7.66,1.657305702,-0.7312836013
7.68,1.667073711,-0.1554008175
7.7,1.671957716,-1.307166385
7.72,1.676841721,-0.7312836013
7.74,1.681725726,-0.7312836013
7.76,1.686609731,-0.1554008175
7.78,1.69E+00,-1.55E-01
7.8,1.691493736,-0.1554008175
7.82,1.696377741,-0.7312836013
7.84,1.696377741,-0.7312836013
7.86,1.701261746,-0.7312836013
7.88,1.701261746,-0.1554008175
7.9,1.71E+00,-7.31E-01
7.92,1.71591376,-1.307166385
7.94,1.720797765,-1.307166385
7.96,1.72568177,-1.307166385
7.98,1.730565775,-0.1554008175
8,1.73544978,-0.1554008175
8.02,1.740333785,-0.1554008175
8.04,1.74521779,-0.7312836013
8.06,1.750101794,-0.7312836013
8.08,1.75E+00,-7.31E-01
8.1,1.759869804,-0.1554008175
8.12,1.754985799,-0.1554008175
8.14,1.764753809,-0.7312836013
8.16,1.77E+00,-1.31E+00
8.18,1.769637814,-0.7312836013
8.2,1.769637814,-0.7312836013
8.22,1.769637814,-0.1554008175
8.24,1.779405824,-0.1554008175
8.26,1.78E+00,-7.31E-01
8.28,1.798941843,-0.7312836013
8.3,1.798941843,-0.7312836013
8.32,1.798941843,-0.7312836013
8.34,1.808709853,-0.1554008175
8.36,1.81E+00,-1.55E-01
8.38,1.813593858,-0.1554008175
8.4,1.81E+00,-7.31E-01
8.42,1.82E+00,-7.31E-01
8.44,1.823361868,-0.1554008175
8.46,1.823361868,-0.1554008175
8.48,1.828245873,-0.1554008175
8.5,1.838013882,-0.7312836013
8.52,1.838013882,-0.7312836013
8.54,1.847781892,-0.7312836013
8.56,1.847781892,-0.1554008175
8.58,1.852665897,-0.1554008175
8.6,1.857549902,-0.1554008175
8.62,1.862433907,-1.307166385
8.64,1.862433907,-1.307166385
8.66,1.87E+00,-7.31E-01
8.68,1.88E+00,-7.31E-01
8.7,1.881969926,-0.1554008175
8.72,1.881969926,-0.1554008175
8.74,1.881969926,-1.307166385
8.76,1.891737936,-0.7312836013
8.78,1.896621941,-0.7312836013
8.8,1.901505946,-0.1554008175
8.82,1.906389951,-0.1554008175
8.84,1.906389951,-0.7312836013
8.86,1.911273956,-0.7312836013
8.88,1.916157961,-0.7312836013
8.9,1.916157961,-0.7312836013
8.92,1.921041965,-0.1554008175
8.94,1.92592597,-0.1554008175
8.96,1.92592597,-0.7312836013
8.98,1.930809975,-1.307166385
9,1.93569398,-0.7312836013
9.02,1.94546199,-0.7312836013
9.04,1.950345995,-0.1554008175
9.06,1.950345995,-0.1554008175
9.08,1.96E+00,-7.31E-01
9.1,1.964998009,-0.7312836013
9.12,1.969882014,-0.7312836013
9.14,1.974766019,-0.1554008175
9.16,1.969882014,-0.1554008175
9.18,1.974766019,-0.1554008175
9.2,1.984534029,-1.307166385
9.22,1.984534029,-1.307166385
9.24,1.989418034,-0.7312836013
9.26,1.989418034,-0.1554008175
9.28,1.999186044,-0.1554008175
9.3,2.004070048,-0.1554008175
9.32,2.004070048,-0.7312836013
9.34,2.004070048,-0.7312836013
9.36,2.013838058,-0.7312836013
9.38,2.013838058,-0.1554008175
9.4,2.02E+00,-1.55E-01
9.42,2.018722063,-0.7312836013
9.44,2.023606068,-1.307166385
9.46,2.028490073,-1.307166385
9.48,2.033374078,-0.7312836013
