time (s),V1 Potential 3,potential 2
0,0.536502767,-0.004884362
0.02,-1.191145584,-0.004884362
0.04,-1.191145584,-0.004884362
0.06,-0.039380017,-0.004884362
0.08,0.536502767,-0.004884362
0.1,0.536502767,-0.004884362
0.12,-0.6152628,-0.004884362
0.14,-1.767028368,-0.004884362
0.16,-0.6152628,-0.004884362
0.18,1.112385551,-0.004884362
0.2,-0.6152628,-0.004884362
0.22,-1.191145584,-0.004884362
0.24,-1.767028368,-0.004884362
0.26,-1.191145584,-0.004884362
0.28,2.264151119,-0.004884362
0.3,1.112385551,-3.58E-07
0.32,-2.918793936,-0.004884362
0.34,-4.070559504,-0.004884362
0.36,-0.6152628,-0.004884362
0.38,1.688268335,-0.004884362
0.4,0.536502767,-3.58E-07
0.42,-2.342911152,-0.009768367
0.44,-4.070559504,-0.004884362
0.46,-1.191145584,-0.004884362
0.48,2.264151119,-0.004884362
0.5,1.112385551,-0.004884362
0.52,-2.918793936,-0.004884362
0.54,-3.49467672,-3.58E-07
0.56,-0.6152628,-0.004884362
0.58,1.688268335,-0.004884362
0.6,1.112385551,-0.004884362
0.62,-2.918793936,-3.58E-07
0.64,-4.070559504,-0.004884362
0.66,-1.191145584,-0.004884362
0.68,-0.039380017,-0.004884362
0.7,-0.6152628,-0.009768367
0.72,-1.191145584,-0.004884362
0.74,-1.767028368,-0.004884362
0.76,-1.191145584,-0.004884362
0.78,0.536502767,-0.004884362
0.8,-0.039380017,-3.58E-07
0.82,-2.342911152,-3.58E-07
0.84,-2.342911152,-0.004884362
0.86,-0.6152628,-3.58E-07
0.88,-0.039380017,-0.004884362
0.9,-0.039380017,-0.009768367
0.92,-1.191145584,-0.004884362
0.94,-2.918793936,-0.004884362
0.96,-1.191145584,-0.004884362
0.98,0.536502767,-0.004884362
1,-0.039380017,-0.004884362
1.02,-1.191145584,0.004883647
1.04,-1.767028368,-0.004884362
1.06,-1.767028368,-0.004884362
1.08,2.264151119,-3.58E-07
1.1,1.112385551,-0.004884362
1.12,-2.342911152,-0.004884362
1.14,-4.070559504,-0.004884362
1.16,-1.191145584,-0.004884362
1.18,1.688268335,-0.009768367
1.2,1.112385551,-0.004884362
1.22,-2.342911152,-0.004884362
1.24,-4.646442288,-0.009768367
1.26,-1.191145584,-3.58E-07
1.28,2.264151119,-0.004884362
1.3,0.536502767,-0.004884362
