Date,"Monday, February 13, 2023"
,
Trail,3
Seconds - s,30
Starting Temp - C,182.5 +- 0.2
Ending Temp - C,
Retarding Voltage - V,1.5025 +- 0.0005
Result,Success
,
time (s),V2 Potential
0,-0.00586
0.02,-0.00586
0.04,-0.00098
0.06,-0.00586
0.08,-0.00098
0.1,-0.00098
0.12,-0.00098
0.14,-0.00098
0.16,0.003907
0.18,-0.00586
0.2,-0.00586
0.22,-0.01074
0.24,-0.01074
0.26,-0.00098
0.28,0.003907
0.3,0.003907
0.32,0.013675
0.34,0.013675
0.36,0.013675
0.38,0.013675
0.4,0.018559
0.42,0.023443
0.44,0.028327
0.46,0.028327
0.48,0.038095
0.5,0.038095
0.52,0.038095
0.54,0.038095
0.56,0.052747
0.58,0.057631
0.6,0.057631
0.62,0.067399
0.64,0.067399
0.66,0.067399
0.68,0.072283
0.7,0.072283
0.72,0.072283
0.74,0.082051
0.76,0.086935
0.78,0.086935
0.8,0.096703
0.82,0.096703
0.84,0.096703
0.86,0.106471
0.88,0.106471
0.9,0.111355
0.92,0.116239
0.94,0.126007
0.96,0.121123
0.98,0.126007
1,0.126007
1.02,0.126007
1.04,0.135776
1.06,0.14066
1.08,0.145544
1.1,0.155312
1.12,0.155312
1.14,0.155312
1.16,0.160196
1.18,0.160196
1.2,0.169964
1.22,0.169964
1.24,0.169964
1.26,0.174848
1.28,0.184616
1.3,0.174848
1.32,0.184616
1.34,0.1895
1.36,0.194384
1.38,0.199268
1.4,0.204152
1.42,0.209036
1.44,0.209036
1.46,0.21392
1.48,0.209036
1.5,0.218804
1.52,0.223688
1.54,0.223688
1.56,0.233456
1.58,0.233456
1.6,0.23834
1.62,0.243224
1.64,0.243224
1.66,0.248108
1.68,0.252992
1.7,0.257876
1.72,0.257876
1.74,0.257876
1.76,0.26276
1.78,0.26276
1.8,0.267644
1.82,0.277412
1.84,0.282296
1.86,0.28718
1.88,0.28718
1.9,0.292064
1.92,0.296948
1.94,0.296948
1.96,0.301832
1.98,0.306716
2,0.3116
2.02,0.316484
2.04,0.316484
2.06,0.316484
2.08,0.321368
2.1,0.321368
2.12,0.331136
2.14,0.33602
2.16,0.340904
2.18,0.345788
2.2,0.345788
2.22,0.345788
2.24,0.350672
2.26,0.350672
2.28,0.36044
2.3,0.36044
2.32,0.370208
2.34,0.370208
2.36,0.370208
2.38,0.375092
2.4,0.379976
2.42,0.38486
2.44,0.389744
2.46,0.394628
2.48,0.399512
2.5,0.399512
2.52,0.399512
2.54,0.404396
2.56,0.40928
2.58,0.40928
2.6,0.414164
2.62,0.414164
2.64,0.423932
2.66,0.423932
2.68,0.428816
2.7,0.4337
2.72,0.438584
2.74,0.443468
2.76,0.448352
2.78,0.443468
2.8,0.453236
2.82,0.448352
2.84,0.45812
2.86,0.45812
2.88,0.463004
2.9,0.472772
2.92,0.467888
2.94,0.477656
2.96,0.472772
2.98,0.48254
3,0.492308
3.02,0.487424
3.04,0.492308
3.06,0.497192
3.08,0.497192
3.1,0.502076
3.12,0.50696
3.14,0.511844
3.16,0.516728
3.18,0.521612
3.2,0.526496
3.22,0.521612
3.24,0.526496
3.26,0.526496
3.28,0.536264
3.3,0.536264
3.32,0.541148
3.34,0.546032
3.36,0.550916
3.38,0.546032
3.4,0.5558
3.42,0.560684
3.44,0.560684
3.46,0.570452
3.48,0.570452
3.5,0.575336
3.52,0.58022
3.54,0.58022
3.56,0.58022
3.58,0.585104
3.6,0.589988
3.62,0.589988
3.64,0.594872
3.66,0.599756
3.68,0.60464
3.7,0.609524
3.72,0.614408
3.74,0.614408
3.76,0.619292
3.78,0.624176
3.8,0.624176
3.82,0.624176
3.84,0.62906
3.86,0.633944
3.88,0.643712
3.9,0.643712
3.92,0.643712
3.94,0.65348
3.96,0.65348
3.98,0.658364
4,0.658364
4.02,0.663248
4.04,0.673016
4.06,0.673016
4.08,0.673016
4.1,0.6779
4.12,0.682784
4.14,0.682784
4.16,0.682784
4.18,0.687668
4.2,0.697436
4.22,0.70232
4.24,0.70232
4.26,0.707204
4.28,0.712088
4.3,0.712088
4.32,0.716972
4.34,0.712088
4.36,0.721856
4.38,0.72674
4.4,0.731624
4.42,0.731624
4.44,0.736508
4.46,0.741392
4.48,0.746276
4.5,0.746276
4.52,0.75116
4.54,0.756044
4.56,0.765812
4.58,0.765812
4.6,0.760928
4.62,0.765812
4.64,0.770696
4.66,0.77558
4.68,0.77558
4.7,0.780464
4.72,0.795116
4.74,0.790232
4.76,0.790232
4.78,0.790232
4.8,0.8
4.82,0.804884
4.84,0.804884
4.86,0.809768
4.88,0.809768
4.9,0.814652
4.92,0.814652
4.94,0.814652
4.96,0.82442
4.98,0.829304
5,0.834188
5.02,0.839072
5.04,0.839072
5.06,0.843956
5.08,0.843956
5.1,0.843956
5.12,0.84884
5.14,0.853724
5.16,0.858608
5.18,0.868376
5.2,0.868376
5.22,0.868376
5.24,0.87326
5.26,0.878144
5.28,0.883028
5.3,0.887912
5.32,0.887912
5.34,0.892796
5.36,0.89768
5.38,0.89768
5.4,0.89768
5.42,0.89768
5.44,0.907448
5.46,0.907448
5.48,0.917216
5.5,0.9221
5.52,0.9221
5.54,0.926984
5.56,0.926984
5.58,0.931868
5.6,0.936752
5.62,0.941636
5.64,0.941636
5.66,0.94652
5.68,0.951404
5.7,0.94652
5.72,0.951404
5.74,0.956288
5.76,0.961172
5.78,0.97094
5.8,0.97094
5.82,0.97094
5.84,0.97094
5.86,0.980708
5.88,0.980708
5.9,0.985592
5.92,0.990476
5.94,0.985592
5.96,0.99536
5.98,0.99536
6,1.000244
6.02,1.005128
6.04,1.014896
6.06,1.010012
6.08,1.014896
6.1,1.014896
6.12,1.024664
6.14,1.029548
6.16,1.034432
6.18,1.029548
6.2,1.029548
6.22,1.034432
6.24,1.0442
6.26,1.049084
6.28,1.058852
6.3,1.053968
6.32,1.053968
6.34,1.058852
6.36,1.063736
6.38,1.06862
6.4,1.073504
6.42,1.06862
6.44,1.078388
6.46,1.078388
6.48,1.083272
6.5,1.083272
6.52,1.088156
6.54,1.097924
6.56,1.097924
6.58,1.097924
6.6,1.102808
6.62,1.107692
6.64,1.112576
6.66,1.11746
6.68,1.11746
6.7,1.11746
6.72,1.122344
6.74,1.127228
6.76,1.127228
6.78,1.127228
6.8,1.136997
6.82,1.141881
6.84,1.141881
6.86,1.151649
6.88,1.151649
6.9,1.151649
6.92,1.156533
6.94,1.156533
6.96,1.161417
6.98,1.171185
7,1.171185
7.02,1.176069
7.04,1.176069
7.06,1.176069
7.08,1.185837
7.1,1.185837
7.12,1.190721
7.14,1.195605
7.16,1.195605
7.18,1.195605
7.2,1.195605
7.22,1.205373
7.24,1.210257
7.26,1.210257
7.28,1.220025
7.3,1.215141
7.32,1.220025
7.34,1.224909
7.36,1.234677
7.38,1.234677
7.4,1.239561
7.42,1.239561
7.44,1.244445
7.46,1.239561
7.48,1.249329
7.5,1.254213
7.52,1.254213
7.54,1.259097
7.56,1.259097
7.58,1.263981
7.6,1.273749
7.62,1.268865
7.64,1.273749
7.66,1.278633
7.68,1.288401
7.7,1.288401
7.72,1.288401
7.74,1.288401
7.76,1.293285
7.78,1.298169
7.8,1.303053
7.82,1.307937
