Date,,2/20/2023
Trial,,8
Measurement,,Anode Current (Channel 3)
Oven Status,,Off
Temp Start (C),181.5,0.5
Temp End(C),179.3,0.5
Filament Current (A),0.23,0.02
Retarding Voltage (V),1.753,0.001
,,
time (s),pot 2 (V),pot 3 (mV1V+-)
0,-0.001953530442,-1.495512305
0.02,-0.001953530442,-2.071395089
0.04,-1.95E-03,-9.20E-01
0.06,-0.001953530442,1.959784398
0.08,-0.001953530442,0.8080188305
0.1,-0.001953530442,-0.9196295211
0.12,-0.006837535326,-1.495512305
0.14,-0.006837535326,-0.9196295211
0.16,-0.006837535326,0.2321360467
0.18,-0.006837535326,0.2321360467
0.2,-0.006837535326,-0.9196295211
0.22,-0.001953530442,-1.495512305
0.24,-0.001953530442,-1.495512305
0.26,-1.95E-03,1.38E+00
0.28,-1.95E-03,2.32E-01
0.3,-1.95E-03,-3.44E-01
0.32,-0.001953530442,-2.071395089
0.34,-0.001953530442,-1.495512305
0.36,-0.001953530442,1.959784398
0.38,-0.001953530442,0.2321360467
0.4,-0.001953530442,-1.495512305
0.42,-0.001953530442,-2.071395089
0.44,-0.001953530442,-1.495512305
0.46,-0.001953530442,1.383901614
0.48,-0.006837535326,-0.3437467372
0.5,-0.001953530442,-0.9196295211
0.52,-0.001953530442,-2.071395089
0.54,-0.001953530442,-1.495512305
0.56,-1.95E-03,1.38E+00
0.58,-0.001953530442,0.2321360467
0.6,-0.006837535326,-0.9196295211
0.62,-0.006837535326,-2.647277873
0.64,-0.001953530442,-1.495512305
0.66,-0.001953530442,1.383901614
0.68,-0.001953530442,0.2321360467
0.7,-0.001953530442,-1.495512305
0.72,-0.001953530442,-2.647277873
0.74,-0.001953530442,-1.495512305
0.76,-0.006837535326,1.383901614
0.78,-1.95E-03,-3.44E-01
0.8,-0.001953530442,-1.495512305
0.82,2.93E-03,-2.07E+00
0.84,-1.95E-03,-1.50E+00
0.86,-0.001953530442,1.383901614
0.88,-1.95E-03,-3.44E-01
0.9,-0.001953530442,-0.9196295211
0.92,-0.006837535326,-2.071395089
0.94,-0.006837535326,-2.071395089
0.96,-0.006837535326,0.8080188305
0.98,-0.001953530442,-0.3437467372
